"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$10,572,840,433","0.00%","USA","Analyze"
"ZI","ZoomInfo Technologies Inc. - Class A","Common stocks","Large cap","Communication Services","$10,558,024,800","0.00%","USA","Analyze"
"CG","Carlyle Group","Common stocks","Large cap","Financials","$10,399,112,066","4.22%","USA","Analyze"
"NWS","News Corp Class B","Common stocks","Large cap","Communication Services","$10,398,274,913","1.09%","USA","Analyze"
"NWSA","News Corp Class A","Common stocks","Large cap","Communication Services","$10,398,274,913","1.11%","USA","Analyze"
"ARMK","Aramark","Common stocks","Large cap","Consumer Discretionary","$10,383,405,521","1.09%","USA","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$10,380,793,782","3.63%","USA","Analyze"
"MORN","Morningstar Inc","Common stocks","Large cap","Financials","$10,187,085,120","0.60%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Large cap","Information Technology","$10,165,243,834","0.00%","USA","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,132,552,459","0.00%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$10,031,410,189","0.63%","USA","Analyze"
"REXR","Rexford Industrial Realty, Inc","REITs","Large cap","Real Estate","$10,022,377,610","2.15%","USA","Analyze"
"BJ","BJs Wholesale Club Holdings Inc","Common stocks","Mid cap","Consumer Staples","$9,996,453,434","0.00%","USA","Analyze"
"EMN","Eastman Chemical","Common stocks","Mid cap","Materials","$9,987,997,899","3.61%","USA","Analyze"
"NFE","New Fortress Energy LLC - Class A","Common stocks","Mid cap","Energy","$9,954,157,796","0.84%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$9,905,751,512","0.00%","USA","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,902,189,007","2.70%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Mid cap","Consumer Discretionary","$9,888,995,476","0.00%","USA","Analyze"
"WSC","Willscot Corp","Common stocks","Mid cap","Industrials","$9,801,109,932","0.00%","USA","Analyze"
"PHM","Pultegroup Inc","Common stocks","Mid cap","Consumer Discretionary","$9,759,796,976","1.39%","USA","Analyze"
"BRKR","Bruker Corp","Common stocks","Mid cap","Health Care","$9,744,230,465","0.29%","USA","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,730,570,933","1.43%","USA","Analyze"
"RGEN","Repligen Corp","Common stocks","Mid cap","Health Care","$9,699,564,249","0.00%","USA","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$9,675,240,388","1.64%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$9,654,221,468","1.09%","USA","Analyze"
"SRPT","Sarepta Therapeutics Inc","Common stocks","Mid cap","Health Care","$9,652,572,057","0.00%","USA","Analyze"
"MTN","Vail Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$9,588,446,119","2.75%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Mid cap","Information Technology","$9,524,967,573","0.00%","USA","Analyze"
"NRG","NRG Energy Inc","Common stocks","Mid cap","Utilities","$9,524,083,035","3.34%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Mid cap","Information Technology","$9,506,314,867","1.20%","USA","Analyze"
"PLUG","Plug Power Inc","Common stocks","Mid cap","Industrials","$9,501,342,062","0.00%","USA","Analyze"
"EWBC","East West Bancorp Inc","Common stocks","Mid cap","Financials","$9,491,341,956","2.36%","USA","Analyze"
"ZEN","Zendesk Inc","Common stocks","Mid cap","Information Technology","$9,454,513,094","0.00%","USA","Analyze"
"CAR","Avis Budget Group Inc","Common stocks","Mid cap","Industrials","$9,392,142,318","0.00%","USA","Analyze"
"LII","Lennox International Inc","Common stocks","Mid cap","Industrials","$9,390,916,747","1.48%","USA","Analyze"
"CCK","Crown Holdings Inc","Common stocks","Mid cap","Materials","$9,389,386,109","1.12%","USA","Analyze"
"DECK","Deckers Outdoor Corp","Common stocks","Mid cap","Consumer Discretionary","$9,341,455,648","0.00%","USA","Analyze"
"BKI","Black Knight","Common stocks","Mid cap","Information Technology","$9,322,600,762","0.00%","USA","Analyze"
"NLY","Annaly Capital Management Inc","Mortgage REITs","Mid cap","Financials","$9,315,202,901","16.66%","USA","Analyze"
"BLDR","Builders Firstsource Inc","Common stocks","Mid cap","Industrials","$9,260,295,296","0.00%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$9,257,729,706","2.15%","USA","Analyze"
"AGCO","AGCO Corp","Common stocks","Mid cap","Industrials","$9,232,258,010","0.73%","USA","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$9,216,142,828","0.63%","USA","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$9,200,156,045","2.81%","USA","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$9,185,002,669","3.83%","USA","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$9,181,809,173","1.88%","USA","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Common stocks","Mid cap","Health Care","$9,137,672,358","0.00%","USA","Analyze"
"LSCC","Lattice Semiconductor Corp","Common stocks","Mid cap","Information Technology","$9,121,304,268","0.00%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Mid cap","Information Technology","$9,114,016,436","0.00%","USA","Analyze"
"PFGC","Performance Food Group","Common stocks","Mid cap","Consumer Staples","$9,113,093,498","0.00%","USA","Analyze"
"JBL","Jabil Inc","Common stocks","Mid cap","Information Technology","$9,100,221,014","0.47%","USA","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$9,066,117,374","0.00%","USA","Analyze"
"RGA","Reinsurance Group Of America Inc","Common stocks","Mid cap","Financials","$9,060,288,024","2.24%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Mid cap","Financials","$9,050,230,090","3.04%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$9,026,657,958","0.87%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$8,958,312,907","4.84%","USA","Analyze"
"LSI","Life Storage, Inc","REITs","Mid cap","Real Estate","$8,946,842,745","3.90%","USA","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Mid cap","Industrials","$8,939,190,135","2.09%","USA","Analyze"
"VST","Vistra Energy Corp","Common stocks","Mid cap","Utilities","$8,938,035,902","3.01%","USA","Analyze"
"CUBE","CubeSmart","REITs","Mid cap","Real Estate","$8,935,826,756","4.26%","USA","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Mid cap","Consumer Discretionary","$8,916,136,026","3.67%","USA","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$8,899,747,095","2.04%","USA","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,892,899,939","0.00%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Mid cap","Information Technology","$8,857,032,049","0.00%","USA","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$8,841,859,506","0.00%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$8,833,925,755","0.61%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Consumer Discretionary","$8,810,255,023","1.66%","USA","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,737,327,846","2.97%","USA","Analyze"
"COIN","Coinbase Class A","Common stocks","Mid cap","Financials","$8,726,065,495","0.00%","USA","Analyze"
"WSM","Williams Sonoma Inc","Common stocks","Mid cap","Consumer Discretionary","$8,698,494,622","2.32%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Mid cap","Real Estate","$8,611,997,852","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Mid cap","Real Estate","$8,611,997,852","0.00%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$8,598,842,960","0.86%","USA","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$8,540,854,938","3.79%","USA","Analyze"
"CBSH","Commerce Bancshares Inc","Common stocks","Mid cap","Financials","$8,534,902,281","1.47%","USA","Analyze"
"JEF","Jefferies Financial Group Inc","Common stocks","Mid cap","Financials","$8,534,509,642","3.15%","USA","Analyze"
"FIVE","Five Below Inc","Common stocks","Mid cap","Consumer Discretionary","$8,497,596,329","0.00%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Mid cap","Information Technology","$8,458,014,908","0.54%","USA","Analyze"
"GME","Gamestop Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,453,475,200","0.00%","USA","Analyze"
"LEA","Lear Corp","Common stocks","Mid cap","Consumer Discretionary","$8,440,290,247","2.14%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$8,419,990,872","1.53%","USA","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$8,407,139,792","2.98%","USA","Analyze"
"AA","Alcoa Corp","Common stocks","Mid cap","Materials","$8,381,513,506","0.84%","USA","Analyze"
"LAMR","Lamar Advertising Company Class A","REITs","Mid cap","Real Estate","$8,377,284,960","4.60%","USA","Analyze"
"TTEK","Tetra Tech Inc","Common stocks","Mid cap","Industrials","$8,364,398,557","0.55%","USA","Analyze"
"CHDN","Churchill Downs Inc","Common stocks","Mid cap","Consumer Discretionary","$8,356,638,360","0.30%","USA","Analyze"
"RRX","Regal Rexnord Corporation","Common stocks","Mid cap","Industrials","$8,348,947,874","1.07%","USA","Analyze"
"OC","Owens Corning","Common stocks","Mid cap","Industrials","$8,346,582,510","1.56%","USA","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,201,404,336","2.19%","USA","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$8,198,544,879","1.71%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$8,193,526,790","1.31%","USA","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$8,181,168,079","4.64%","USA","Analyze"
"DISH","Dish Network Corp Class A","Common stocks","Mid cap","Communication Services","$8,167,568,372","0.00%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$8,138,671,564","3.04%","USA","Analyze"
"NVCR","Novocure Ltd","Common stocks","Mid cap","Health Care","$8,122,086,846","0.00%","USA","Analyze"
"NNN","National Retail Properties, Inc","REITs","Mid cap","Real Estate","$8,101,957,325","4.68%","USA","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$8,068,603,639","4.69%","USA","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$8,052,990,288","4.66%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$8,004,107,810","1.69%","USA","Analyze"
"FND","Floor Decor Holdings Inc","Common stocks","Mid cap","Consumer Discretionary","$7,919,558,578","0.00%","USA","Analyze"
"G","Genpact Ltd","Common stocks","Mid cap","Information Technology","$7,892,927,874","1.12%","USA","Analyze"
"RNR","Renaissancere Holding Ltd","Common stocks","Mid cap","Financials","$7,873,332,502","0.81%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Mid cap","Financials","$7,830,521,718","4.51%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$7,760,201,024","1.40%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$7,714,378,779","0.53%","USA","Analyze"
"ADT","ADT Inc.","Common stocks","Mid cap","Consumer Discretionary","$7,711,330,232","1.55%","USA","Analyze"
"UGI","UGI Corp","Common stocks","Mid cap","Utilities","$7,694,161,400","3.80%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$7,691,786,658","4.21%","USA","Analyze"
"COLD","Americold Realty Trust","REITs","Mid cap","Real Estate","$7,691,349,644","1.53%","USA","Analyze"
"EXAS","Exact Sciences Corp","Common stocks","Mid cap","Health Care","$7,642,190,517","0.00%","USA","Analyze"
"USFD","US Foods Holding Corp","Common stocks","Mid cap","Consumer Staples","$7,623,792,188","0.00%","USA","Analyze"
"WAL","Western Alliance","Common stocks","Mid cap","Financials","$7,604,242,613","2.02%","USA","Analyze"
"GLOB","Globant Sa","Common stocks","Mid cap","Information Technology","$7,604,035,623","0.00%","Argentina","Analyze"
"CLF","Cleveland-Cliffs Inc.","Common stocks","Mid cap","Materials","$7,600,711,624","0.00%","USA","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,594,597,193","3.08%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Mid cap","Health Care","$7,571,068,189","0.00%","USA","Analyze"
"MANH","Manhattan Associates Inc","Common stocks","Mid cap","Information Technology","$7,538,162,482","0.00%","USA","Analyze"
"SWN","Southwestern Energy","Common stocks","Mid cap","Energy","$7,499,283,802","0.00%","USA","Analyze"
"MIDD","Middleby Corp","Common stocks","Mid cap","Industrials","$7,461,812,283","0.00%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Mid cap","Information Technology","$7,451,471,167","0.00%","USA","Analyze"
"BERY","Berry Global Group Inc","Common stocks","Mid cap","Materials","$7,396,851,000","0.00%","USA","Analyze"
"JLL","Jones Lang LaSalle Inc","Common stocks","Mid cap","Real Estate","$7,381,852,579","0.00%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$7,368,203,986","0.00%","USA","Analyze"
"CHE","Chemed Corp","Common stocks","Mid cap","Health Care","$7,365,708,176","0.30%","USA","Analyze"
"MPW","Medical Properties Trust, Inc","REITs","Mid cap","Real Estate","$7,349,420,000","9.10%","USA","Analyze"
"DCI","Donaldson Inc","Common stocks","Mid cap","Industrials","$7,343,991,267","1.49%","USA","Analyze"
"PEN","Penumbra Inc","Common stocks","Mid cap","Health Care","$7,336,687,403","0.00%","USA","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,302,081,934","1.88%","USA","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$7,296,525,410","1.58%","USA","Analyze"
"HR","Healthcare Realty Trust Incorporated","REITs","Mid cap","Real Estate","$7,295,570,799","6.40%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$7,272,857,474","3.75%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Mid cap","Health Care","$7,202,410,124","0.00%","USA","Analyze"
"HOOD","Robinhood Markets, Inc.","Common stocks","Mid cap","Financials","$7,185,885,765","0.00%","USA","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$7,170,324,990","0.00%","USA","Analyze"
"MTZ","Mastec Inc","Common stocks","Mid cap","Industrials","$7,163,911,371","0.00%","USA","Analyze"
"PDCE","PDC Energy Inc","Common stocks","Mid cap","Energy","$7,128,311,130","1.38%","USA","Analyze"
"OHI","Omega Healthcare Investors, Inc","REITs","Mid cap","Real Estate","$7,098,080,820","8.56%","USA","Analyze"
"WMS","Advanced Drainage Systems Inc","Common stocks","Mid cap","Industrials","$7,059,307,855","0.54%","USA","Analyze"
"VMI","Valmont Inds Inc","Common stocks","Mid cap","Industrials","$6,969,296,718","0.66%","USA","Analyze"
"PCOR","Procore Technologies, Inc.","Common stocks","Mid cap","Information Technology","$6,950,139,233","0.00%","USA","Analyze"
"RL","Ralph Lauren Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$6,918,304,600","2.78%","USA","Analyze"
"ITT","ITT Inc","Common stocks","Mid cap","Industrials","$6,917,028,000","1.20%","USA","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$6,910,896,040","0.00%","USA","Analyze"
"HOG","Harley Davidson Inc","Common stocks","Mid cap","Consumer Discretionary","$6,898,423,621","1.31%","USA","Analyze"
"PATH","UiPath, Inc.","Common stocks","Mid cap","Information Technology","$6,896,310,057","0.00%","USA","Analyze"
"BOKF","BOK Financial Corp","Common stocks","Mid cap","Financials","$6,874,070,486","2.07%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Mid cap","Communication Services","$6,873,254,168","0.00%","USA","Analyze"
"RRC","Range Resources Corp","Common stocks","Mid cap","Energy","$6,869,687,457","0.28%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$6,863,386,750","0.00%","USA","Analyze"
"AGL","agilon health, inc.","Common stocks","Mid cap","Health Care","$6,845,026,543","0.00%","USA","Analyze"
"RH","RH","Common stocks","Mid cap","Consumer Discretionary","$6,844,873,682","0.00%","USA","Analyze"
"GPK","Graphic Packaging Holding","Common stocks","Mid cap","Materials","$6,842,590,778","1.34%","USA","Analyze"
"GMED","Globus Medical Inc Class A","Common stocks","Mid cap","Health Care","$6,839,215,155","0.00%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$6,829,360,077","1.44%","USA","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$6,824,493,230","0.00%","USA","Analyze"
"KBR","KBR, Inc.","Common stocks","Mid cap","Industrials","$6,820,024,046","0.94%","USA","Analyze"
"RUN","Sunrun Inc","Common stocks","Mid cap","Industrials","$6,800,139,673","0.00%","USA","Analyze"
"RGLD","Royal Gold Inc","Common stocks","Mid cap","Materials","$6,758,019,945","1.35%","USA","Analyze"
"EGP","EastGroup Properties, Inc","REITs","Mid cap","Real Estate","$6,751,797,343","2.90%","USA","Analyze"
"CW","Curtiss Wright Corp","Common stocks","Mid cap","Industrials","$6,704,226,027","0.42%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$6,688,063,022","4.23%","USA","Analyze"
"GNTX","Gentex Corp","Common stocks","Mid cap","Consumer Discretionary","$6,687,936,982","1.67%","USA","Analyze"
"DKNG","DraftKings Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$6,687,838,702","0.00%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$6,666,983,794","1.67%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,665,523,858","2.82%","USA","Analyze"
"REYN","Reynolds Consumer Products Inc.","Common stocks","Mid cap","Consumer Staples","$6,629,561,366","2.88%","USA","Analyze"
"ST","Sensata Technologies Holding Nv","Common stocks","Mid cap","Industrials","$6,609,468,662","0.76%","USA","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$6,595,645,781","1.57%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$6,587,534,325","0.00%","USA","Analyze"
"COTY","Coty Inc Class A","Common stocks","Mid cap","Consumer Staples","$6,563,638,102","0.00%","USA","Analyze"
"CLVT","Clarivate Plc","Common stocks","Mid cap","Industrials","$6,546,373,209","0.00%","USA","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,524,649,724","0.00%","USA","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$6,522,568,224","2.19%","USA","Analyze"
"HRB","H&R Block Inc","Common stocks","Mid cap","Consumer Discretionary","$6,514,115,695","2.60%","USA","Analyze"
"NTNX","Nutanix Inc Class A","Common stocks","Mid cap","Information Technology","$6,488,420,575","0.00%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$6,478,241,351","0.00%","USA","Analyze"
"NVT","Nvent Electric Plc","Common stocks","Mid cap","Industrials","$6,445,257,917","1.80%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$6,430,548,842","0.78%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$6,428,535,363","1.05%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$6,424,339,163","0.00%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$6,416,756,109","1.75%","USA","Analyze"
"LAD","Lithia Motors Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$6,415,231,525","0.68%","USA","Analyze"
"TW","Tradeweb Markets Inc. - Class A","Common stocks","Mid cap","Financials","$6,403,614,589","0.55%","USA","Analyze"
"PII","Polaris Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,375,436,540","2.31%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$6,370,233,316","2.37%","USA","Analyze"
"WCC","Wesco International Inc","Common stocks","Mid cap","Industrials","$6,329,528,229","0.00%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$6,290,462,854","0.00%","USA","Analyze"
"MHK","Mohawk Industries Inc","Common stocks","Mid cap","Consumer Discretionary","$6,280,339,063","0.00%","USA","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$6,270,960,000","0.00%","USA","Analyze"
"STWD","Starwood Property Trust Inc","Mortgage REITs","Mid cap","Financials","$6,247,411,134","9.20%","USA","Analyze"
"DBX","Dropbox Inc Class A","Common stocks","Mid cap","Information Technology","$6,233,553,425","0.00%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$6,197,792,488","0.76%","USA","Analyze"
"INGR","Ingredion Inc","Common stocks","Mid cap","Consumer Staples","$6,162,199,798","2.80%","USA","Analyze"
"CACC","Credit Acceptance Corp","Common stocks","Mid cap","Financials","$6,147,768,034","0.00%","USA","Analyze"
"M","Macys Inc.","Common stocks","Mid cap","Consumer Discretionary","$6,143,369,960","2.71%","USA","Analyze"
"CNXC","Concentrix Corporation","Common stocks","Mid cap","Information Technology","$6,127,992,026","0.86%","USA","Analyze"
"DNB","Dun & Bradstreet Holdings, Inc.","Common stocks","Mid cap","Industrials","$6,126,383,189","0.36%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$6,124,058,577","0.00%","USA","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$6,117,139,024","4.91%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$6,114,091,396","1.10%","USA","Analyze"
"IONS","Ionis Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$6,113,846,461","0.00%","USA","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$6,084,396,663","5.67%","USA","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$6,083,347,117","16.45%","USA","Analyze"
"MDU","MDU Resources Group Inc","Common stocks","Mid cap","Industrials","$6,082,220,633","2.88%","USA","Analyze"
"PLNT","Planet Fitness Inc Class A","Common stocks","Mid cap","Consumer Discretionary","$6,078,501,986","0.00%","USA","Analyze"
"VOYA","Voya Financial Inc","Common stocks","Mid cap","Financials","$6,075,247,520","1.27%","USA","Analyze"
"SNV","Synovus Financial Corp","Common stocks","Mid cap","Financials","$6,026,320,341","3.22%","USA","Analyze"
"FYBR","Frontier Communications Parent, Inc.","Common stocks","Mid cap","Communication Services","$6,024,648,360","0.00%","USA","Analyze"
"LFUS","Littelfuse Inc","Common stocks","Mid cap","Information Technology","$6,001,332,831","0.68%","USA","Analyze"
"ASH","Ashland Global Inc","Common stocks","Mid cap","Materials","$5,995,396,713","1.14%","USA","Analyze"
"FLO","Flowers Foods Inc","Common stocks","Mid cap","Consumer Staples","$5,989,846,444","3.00%","USA","Analyze"
"OSK","Oshkosh Corp","Common stocks","Mid cap","Industrials","$5,980,916,765","1.60%","USA","Analyze"
"AN","AutoNation Inc","Common stocks","Mid cap","Consumer Discretionary","$5,979,912,822","0.00%","USA","Analyze"
"QDEL","Quidel Corp","Common stocks","Mid cap","Health Care","$5,972,481,724","0.00%","USA","Analyze"
"FCN","FTI Consulting Inc","Common stocks","Mid cap","Industrials","$5,936,609,551","0.00%","USA","Analyze"
"PPC","Pilgrims Pride Corp","Common stocks","Mid cap","Consumer Staples","$5,925,922,287","0.00%","USA","Analyze"
"LSTR","Landstar System Inc","Common stocks","Mid cap","Industrials","$5,922,998,441","0.67%","USA","Analyze"
"NVST","Envista Holdings Corporation","Common stocks","Mid cap","Health Care","$5,913,642,948","0.00%","USA","Analyze"
"NYT","New York Times Class A","Common stocks","Mid cap","Communication Services","$5,905,543,968","0.94%","USA","Analyze"
"WWD","Woodward Inc","Common stocks","Mid cap","Industrials","$5,898,468,462","0.77%","USA","Analyze"
"AYI","Acuity Brands Inc","Common stocks","Mid cap","Industrials","$5,861,187,615","0.28%","USA","Analyze"
"AMG","Affiliated Managers Group Inc","Common stocks","Mid cap","Financials","$5,849,938,860","0.03%","USA","Analyze"
"SAIC","Science Applications International","Common stocks","Mid cap","Industrials","$5,819,869,294","1.39%","USA","Analyze"
"ALK","Alaska Air Group Inc","Common stocks","Mid cap","Industrials","$5,819,319,686","0.00%","USA","Analyze"
"VVV","Valvoline Inc","Common stocks","Mid cap","Materials","$5,818,659,102","1.51%","USA","Analyze"
"CR","Crane","Common stocks","Mid cap","Industrials","$5,772,769,984","0.46%","USA","Analyze"
"SON","Sonoco Products","Common stocks","Mid cap","Materials","$5,769,798,412","3.21%","USA","Analyze"
"MP","MP Materials Corp.","Common stocks","Mid cap","Materials","$5,764,822,087","0.00%","USA","Analyze"
"NFG","National Fuel Gas","Common stocks","Mid cap","Utilities","$5,752,916,898","2.93%","USA","Analyze"
"HTZ","Hertz Global Holdings, Inc","Common stocks","Mid cap","Industrials","$5,717,261,099","0.00%","USA","Analyze"
"SRC","Spirit Realty Capital, Inc","REITs","Mid cap","Real Estate","$5,700,931,038","6.16%","USA","Analyze"
"DKS","Dicks Sporting Inc","Common stocks","Mid cap","Consumer Discretionary","$5,694,335,592","1.84%","USA","Analyze"
"ESTC","Elastic N.V.","Common stocks","Mid cap","Information Technology","$5,655,351,738","0.00%","USA","Analyze"
"PENN","Penn National Gaming Inc","Common stocks","Mid cap","Consumer Discretionary","$5,646,283,479","0.00%","USA","Analyze"
"AXTA","Axalta Coating Systems Ltd","Common stocks","Mid cap","Materials","$5,625,527,843","0.00%","USA","Analyze"
"DTM","DT Midstream, Inc.","Common stocks","Mid cap","Energy","$5,622,199,622","4.26%","USA","Analyze"
"ELAN","Elanco Animal Health Incorporated","Common stocks","Mid cap","Health Care","$5,614,592,291","0.00%","USA","Analyze"
"OZK","Bank of the Ozarks","Common stocks","Mid cap","Financials","$5,604,707,860","2.70%","USA","Analyze"
"ALGM","Allegro MicroSystems, Inc.","Common stocks","Mid cap","Information Technology","$5,593,850,043","0.00%","USA","Analyze"
"X","United States Steel Corporation","Common stocks","Mid cap","Materials","$5,559,202,041","0.84%","USA","Analyze"
"EHC","Encompass Health Corp","Common stocks","Mid cap","Health Care","$5,520,297,884","1.57%","USA","Analyze"
"VAC","Marriott Vacations Worldwide Corp","Common stocks","Mid cap","Consumer Discretionary","$5,507,754,010","1.66%","USA","Analyze"
"SLGN","Silgan Holdings Inc","Common stocks","Mid cap","Materials","$5,485,236,919","1.24%","USA","Analyze"
"EXEL","Exelixis Inc","Common stocks","Mid cap","Health Care","$5,457,739,193","0.00%","USA","Analyze"
"FAF","First American Financial Corp","Common stocks","Mid cap","Financials","$5,444,223,322","3.85%","USA","Analyze"
