"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$18,346,215,745","1.39%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$18,226,640,000","0.00%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$18,043,255,579","0.00%","United Kingdom","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$17,996,906,490","3.17%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$17,995,938,485","2.97%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$17,955,697,757","0.00%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,937,627,426","0.61%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$17,874,629,967","3.12%","USA","Analyze"
"RBLX","Roblox Corp","Common stocks","Large cap","Communication Services","$17,874,545,006","0.00%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$17,758,029,091","1.12%","USA","Analyze"
"STLD","Steel Dynamics Inc","Common stocks","Large cap","Materials","$17,734,468,023","1.26%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$17,652,069,680","0.76%","USA","Analyze"
"FSLR","First Solar Inc","Common stocks","Large cap","Information Technology","$17,587,793,538","0.00%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,555,540,565","4.02%","United Kingdom","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$17,475,407,853","0.83%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$17,457,724,100","1.01%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$17,418,542,301","4.12%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$17,401,168,477","3.05%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$17,344,187,485","0.00%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$17,327,774,650","4.09%","USA","Analyze"
"LPLA","LPL Financial Holdings Inc","Common stocks","Large cap","Financials","$17,321,043,123","0.46%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$17,230,653,188","2.47%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$17,126,064,722","0.21%","USA","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$17,067,838,556","1.47%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$17,023,804,451","0.00%","USA","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$17,017,242,079","0.97%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$16,994,231,297","3.11%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$16,993,063,602","0.00%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$16,894,645,184","0.00%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$16,774,119,400","1.84%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$16,745,169,945","3.63%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$16,724,854,097","0.00%","USA","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,637,491,801","0.78%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$16,623,014,537","1.77%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$16,604,950,297","2.53%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$16,588,719,306","0.00%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$16,576,599,575","1.06%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$16,430,140,805","0.33%","USA","Analyze"
"WPC","W. P. Carey Inc","REITs","Large cap","Real Estate","$16,409,620,796","5.26%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$16,215,980,192","0.00%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$16,192,712,473","1.69%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$16,192,712,473","1.59%","USA","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$16,065,861,215","1.96%","USA","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$16,035,461,998","1.65%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$15,971,693,623","2.51%","USA","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$15,970,909,275","0.75%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$15,837,265,266","2.71%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$15,765,910,414","4.69%","USA","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$15,662,508,028","2.43%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Utilities","$15,646,682,629","4.29%","USA","Analyze"
"AZPN","Aspen Technology Inc","Common stocks","Large cap","Information Technology","$15,579,964,690","0.00%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$15,544,526,437","3.62%","USA","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$15,401,798,646","2.73%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$15,302,147,948","1.31%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$15,269,757,654","0.00%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$15,228,783,951","0.00%","USA","Analyze"
